No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,1101,0.318285,-0.62,0.96,26,COBYLA
4,2,2,True,1001,0.058131,0.84,2.42,5,CG
4,2,2,True,1001,0.061767,0.84,2.42,5,BFGS
4,2,2,True,1001,0.05956,0.84,2.42,5,L-BFGS-B
4,2,2,True,1001,0.058296,0.84,2.42,5,SLSQP
16,4,4,True,1101110110011001,6.983627,1.28,2.69,108,COBYLA
16,4,4,True,1001101110010001,1.086367,3.53,3.2525,17,CG
16,4,4,True,1001101110010001,1.133018,3.53,3.2525,17,BFGS
16,4,4,True,1001101110010001,1.089735,3.53,3.2525,17,L-BFGS-B
16,4,4,True,1001101110010001,1.058566,3.53,3.2525,17,SLSQP
4,2,2,True,1101,0.333292,-0.62,0.96,111,Powell
4,2,2,True,1001,0.214577,0.84,2.42,77,Nelder-Mead
4,2,2,True,0010,5.837884,-0.62,0.96,2004,Genetic
16,4,4,True,1111001110011000,11.381464,-2.34,1.785,721,Powell
16,4,4,True,1001100110010001,3.603997,1.69,2.7925,233,Nelder-Mead
16,4,4,True,0000110001001001,30.361089,-3.11,1.5925,1977,Genetic
